N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)								115:114	PVal 115:114	EF 115:114	LowerCI 115:114	UpperCI 115:114	116:114	PVal 116:114	EF 116:114	LowerCI 116:114	UpperCI 116:114	117:114	PVal 117:114	EF 117:114	LowerCI 117:114	UpperCI 117:114																Biological Processes	Molecular Function	PANTHER ID
1	325.2	325.2	72.5600004196167	70.1200008392334	65.8599972724915	tr|F6PVU6|F6PVU6_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=FLNA PE=4 SV=1	MONDO	458								1.3610919713974	2.2396879273065E-14	1.07082402706146	1.27106969679461	1.45748998601279	1.06796896457672	0.00675533199682832	1.04776298999786	1.01928487145638	1.11897835554983	1.61512398719788	8.6866897692609E-27	1.06744003295898	1.51308170700764	1.72404800212735																		
2	273.57	273.57	86.0099971294403	77.1799981594086	71.2499976158142	tr|F7BL18|F7BL18_MONDO	Uncharacterized protein OS=Monodelphis domestica GN=AHNAK PE=4 SV=1	MONDO	389								0.982776582241058	0.745262503623962	1.11472904682159	0.881628217227523	1.09552960276016	1.02401399612427	0.569174110889435	1.08816301822662	0.941048334644841	1.11429416072889	0.858794689178467	0.00562690710648894	1.10940897464752	0.774101083373082	0.95275453555422																		
3	240.09	240.09	70.3999996185303	63.3499979972839	59.2599987983704	tr|F7GHW6|F7GHW6_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=MYH9 PE=4 SV=1	MONDO	306								0.626518785953522	9.0045822251375E-27	1.06437695026398	0.588624909434706	0.666852154676299	1.08765995502472	0.000173764594364911	1.04363095760345	1.04218828226634	1.13511560040938	0.889324724674225	3.28217311107437E-06	1.04827702045441	0.848368043295198	0.932258672597932																		
3	0	239.85	70.2400028705597	63.2000029087067	59.1300010681152	tr|F7GHR2|F7GHR2_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=MYH9 PE=4 SV=1	MONDO	306																																								
3	0	239.82	70.0399994850159	63.0299985408783	58.9600026607513	tr|F6RB27|F6RB27_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=MYH9 PE=4 SV=1	MONDO	306																																								
4	182.08	182.08	62.9999995231628	57.7300012111664	54.5000016689301	tr|F7DWL1|F7DWL1_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=TLN1 PE=4 SV=1	MONDO	146								0.808331727981567	2.70397593205018E-10	1.06053102016449	0.7621952706826	0.857260872107616	0.983313381671906	0.497293204069138	1.05033898353577	0.936186695043697	1.03281237780239	0.861927807331085	4.43547198969441E-09	1.04601001739502	0.824014868880155	0.901585120739639																		
5	144.94	144.94	58.4999978542328	48.5500007867813	45.9699988365173	tr|F7B3V3|F7B3V3_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=MYOF PE=4 SV=1	MONDO	99								0.985326588153839					0.979098975658417					1.06445503234863																						
6	126.28	126.28	82.9599976539612	78.5899996757507	77.240002155304	tr|F6SUP3|F6SUP3_MONDO	Uncharacterized protein OS=Monodelphis domestica GN=ACTN1 PE=4 SV=1	MONDO	186								0.964906275272369					0.955927610397339					0.883720517158508																						
7	121.2	141.52	48.3599990606308	42.5300002098084	37.389999628067	tr|F7DFV3|F7DFV3_MONDO	Uncharacterized protein OS=Monodelphis domestica GN=LOC100014227 PE=4 SV=1	MONDO	100								1.16055595874786	4.81050192320254E-05	1.06943094730377	1.0852088783047	1.24113445836277	1.01628005504608	0.568771183490753	1.05820500850677	0.960381066878663	1.0754326442953	1.27159297466278	8.55930615273337E-09	1.07219004631042	1.18597722394321	1.3633893303917																		
7	0	141.48	48.1700003147125	42.3599988222122	37.2500002384186	tr|F7DFR5|F7DFR5_MONDO	Uncharacterized protein OS=Monodelphis domestica GN=LOC100014227 PE=4 SV=1	MONDO	100																																								
7	0	141.41	50.0800013542175	42.2199994325638	37.1199995279312	tr|F7D0L7|F7D0L7_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=LOC100014227 PE=4 SV=1	MONDO	100																																								
7	0	139.41	49.0200012922287	41.8599992990494	36.7599993944168	tr|F6YIE4|F6YIE4_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=LOC100014227 PE=4 SV=1	MONDO	99																																								
7	0	139.37	49.5799988508224	41.7400002479553	36.6600006818771	tr|F6YID8|F6YID8_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=LOC100014227 PE=4 SV=1	MONDO	99																																								
7	0	139.36	48.3000010251999	41.6999995708466	36.6200000047684	tr|F7DFG9|F7DFG9_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=LOC100014227 PE=4 SV=1	MONDO	99																																								
8	107.21	107.21	65.4900014400482	61.1699998378754	55.5199980735779	tr|F6TAC1|F6TAC1_MONDO	Uncharacterized protein OS=Monodelphis domestica GN=VCL PE=4 SV=1	MONDO	81								0.750785827636719	2.04229801360934E-17	1.04674804210663	0.71725553565472	0.78588359512014	1.01772594451904	0.443553000688553	1.04673397541046	0.972287102957518	1.06528832378478	0.704608917236328	8.28342801313665E-19	1.05287301540375	0.66922497483339	0.741863715370982																		
8	0	107.21	69.6099996566772	65.0099992752075	59.0099990367889	tr|F6SUW1|F6SUW1_MONDO	Uncharacterized protein OS=Monodelphis domestica GN=VCL PE=4 SV=1	MONDO	81																																								
9	93.51	93.51	63.5200023651123	60.369998216629	54.1999995708466	tr|F6ZB80|F6ZB80_MONDO	Uncharacterized protein OS=Monodelphis domestica GN=LOC100013626 PE=4 SV=1	MONDO	80								0.960397779941559	0.159067705273628	1.05846202373505	0.907352137729568	1.01654457774759	1.01506400108337	0.59913182258606	1.05848705768585	0.958976298966363	1.07443210786957	0.991856396198273	0.769761323928833	1.05747699737549	0.937946072264383	1.04886532367942																		
9	0	91.44	61.7299973964691	58.5799992084503	52.3899972438812	tr|F6T8K7|F6T8K7_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=LOC100022172 PE=4 SV=1	MONDO	78																																								
10	93.23	129.73	52.7300000190735	43.9000010490417	41.2699997425079	tr|F7E4E2|F7E4E2_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=MYH10 PE=4 SV=1	MONDO	111								0.793388605117798	0.000384278304409236	1.12893998622894	0.702773056846002	0.895688120935887	0.997098982334137	0.947203516960144	1.09189200401306	0.913184617773068	1.08872440602021	0.993428409099579	0.861007273197174	1.0783519744873	0.921246895821652	1.07126548646431																		
11	89.89	144.73	46.6600000858307	40.4300004243851	36.7900013923645	tr|F7FUN0|F7FUN0_MONDO	Uncharacterized protein OS=Monodelphis domestica GN=FLNC PE=4 SV=1	MONDO	116								1.2664840221405					1.03067994117737					0.858686625957489																						
12	89.18	89.18	83.7300002574921	78.930002450943	76.529997587204	tr|F7DIB7|F7DIB7_MONDO	Uncharacterized protein OS=Monodelphis domestica GN=LOC100025924 PE=3 SV=1	MONDO	243								0.644069790840149					1.00133001804352					0.848936080932617																						
12	0	89.18	83.7300002574921	78.930002450943	76.529997587204	tr|F6ZFI1|F6ZFI1_MONDO	Uncharacterized protein OS=Monodelphis domestica GN=LOC100011313 PE=3 SV=1	MONDO	243																																								
13	86.95	86.95	33.1999987363815	28.1599998474121	26.5799999237061	tr|F6Z5H6|F6Z5H6_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=FN1 PE=4 SV=1	MONDO	64								0.451730310916901	1.26254701138251E-10	1.18480098247528	0.381271046866578	0.535210516188208	1.02437305450439	0.446869611740112	1.06587505340576	0.961062979409494	1.09185368417729	0.478371202945709	1.19288093292091E-10	1.16994404792786	0.408883829780557	0.559667541586421																		
13	0	86.7	31.9400012493134	27.0900011062622	25.5699992179871	tr|F6Z5G8|F6Z5G8_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=FN1 PE=4 SV=1	MONDO	64																																								
13	0	86.44	30.7599991559982	26.0899990797043	24.6199995279312	tr|F6Z5I8|F6Z5I8_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=FN1 PE=4 SV=1	MONDO	64																																								
14	84.22	84.22	72.7800011634827	68.3499991893768	66.3600027561188	tr|F6WMM9|F6WMM9_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=HSPA5 PE=3 SV=1	MONDO	95								1.65393197536469	2.19022203151731E-10	1.12193202972412	1.47418197497346	1.85559925814653	1.02197504043579	0.509221076965332	1.06845605373383	0.956497028459334	1.09193541871849	1.46916103363037	2.13881690136475E-09	1.10184097290039	1.33336939700389	1.61878182264263																		
15	84.08	84.22	30.7700008153915	20.160000026226	16.3699999451637	tr|F6ZK75|F6ZK75_MONDO	Uncharacterized protein (Fragment) OS=Monodelphis domestica GN=DYNC1H1 PE=4 SV=1	MONDO	59								0.964398801326752	0.294007211923599	1.07119703292847	0.900300105098548	1.03306113454099	0.974318981170654	0.505930304527283	1.08130097389221	0.901061780850461	1.0535320632215	1.0577700138092	0.12868919968605	1.07582402229309	0.983218437114459	1.13797439091724																		
